id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401013094,2018,1,regular,2018-09-01T22:00:00.000Z,,FALSE,FALSE,0,3923,Scott Stadium,258,Virginia,ACC,42,14,14,7,7,0.998971989,257,Richmond,,13,10,0,3,0,0.001028011,1.875968856
401020674,2018,1,regular,2018-09-01T22:00:00.000Z,,FALSE,FALSE,0,3965,UB Stadium,2084,Buffalo,Mid-American,48,20,14,14,0,0.999914232,2169,Delaware State,,10,0,3,0,7,8.57677E-05,1.625476245
401021653,2018,1,regular,2018-09-01T22:00:00.000Z,,FALSE,FALSE,0,3608,Paulson Stadium,290,Georgia Southern,Sun Belt,37,13,3,7,14,0.998728666,2569,South Carolina State,,6,0,0,6,0,0.001271334,0.435713164
401014973,2018,1,regular,2018-09-01T22:00:00.000Z,,FALSE,FALSE,0,4418,Jerry Richardson Stadium,2429,Charlotte,Conference USA,34,3,10,7,14,0.999984164,2230,Fordham,,10,0,7,3,0,1.58355E-05,2.60624997
401019472,2018,1,regular,2018-09-01T22:00:00.000Z,,FALSE,FALSE,0,3886,Raymond James Stadium,58,South Florida,American Athletic,34,7,17,7,3,0.999963742,2210,Elon,,14,0,0,7,7,3.62583E-05,0.543915897
401014975,2018,1,regular,2018-09-01T22:00:00.000Z,,FALSE,FALSE,0,3996,Yager Stadium,193,Miami (OH),Mid-American,28,0,7,7,14,0.29143531,276,Marshall,Conference USA,35,14,7,7,7,0.70856469,5.203316446
401021656,2018,1,regular,2018-09-01T22:00:00.000Z,,FALSE,FALSE,0,3975,Veterans Memorial Stadium,2653,Troy,Sun Belt,20,7,0,7,6,0.059230293,68,Boise State,Mountain West,56,14,21,7,14,0.940769707,2.275085026
401019476,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3674,Skelly Field at H. A. Chapman Stadium,202,Tulsa,American Athletic,38,7,14,3,14,0.99775109,2110,Central Arkansas,,27,13,0,7,7,0.00224891,6.025286831
401019474,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3805,Liberty Bowl Memorial Stadium,235,Memphis,American Athletic,66,28,28,0,10,0.999995835,2382,Mercer,,14,0,0,0,14,4.16542E-06,1.025100383
401021654,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3666,Cajun Field,309,Louisiana,Sun Belt,49,21,14,14,0,0.999792722,2755,Grambling,,17,3,7,0,7,0.000207278,1.062737303
401014974,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3797,Ladd Peebles Stadium,6,South Alabama,Sun Belt,26,0,7,6,13,0.173466338,2348,Louisiana Tech,Conference USA,30,7,13,3,7,0.826533662,3.395241506
401012851,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,218,FIU Stadium,2229,Florida International,Conference USA,28,7,7,7,7,0.08816901,84,Indiana,Big Ten,38,14,14,7,3,0.91183099,2.749967918
401012679,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,1056,Rose Bowl,26,UCLA,Pac-12,17,10,0,7,0,0.219604124,2132,Cincinnati,American Athletic,26,0,17,0,9,0.780395876,8.786920159
401021652,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3625,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,48,7,14,27,0,0.998884581,2546,Southeast Missouri State,,21,0,14,0,7,0.001115419,0.727200521
401013057,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,27,3,9,0,15,0.571180101,233,South Dakota,,24,10,14,0,0,0.428819899,7.736173384
401020676,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3739,Glass Bowl,2649,Toledo,Mid-American,66,21,21,21,3,0.999987314,2678,VMI,,3,0,3,0,0,1.26856E-05,0.026662014
401013048,2018,1,regular,2018-09-01T23:00:00.000Z,,FALSE,FALSE,0,3833,Memorial Stadium,2305,Kansas,Big 12,23,7,3,0,10,0.155786883,2447,Nicholls,,26,7,3,7,3,0.844213117,9.411280649
